epoch,step,lr,train_loss,train_distill_loss,train_stream_loss,train_non_stream_loss,train_non_stream_apc_loss,train_cross_modal_apc_loss
28,15000,0.0008,0.0946,0.0142,0.0108,0.0094,0.0,0.1368
28,15100,0.0008,0.0943,0.014,0.0109,0.0094,0.0,0.1356
28,15200,0.0008,0.0939,0.0138,0.011,0.0097,0.0,0.1342
29,15300,0.0008,0.0892,0.013,0.0105,0.008,0.0,0.1297
29,15400,0.0008,0.0919,0.0137,0.0109,0.0083,0.0,0.1332
29,15500,0.0008,0.0909,0.0133,0.0107,0.0084,0.0,0.1316
29,15600,0.0008,0.0902,0.0131,0.0106,0.0086,0.0,0.13
29,15700,0.0008,0.0897,0.0128,0.0107,0.0087,0.0,0.1287
29,15800,0.0008,0.0895,0.0128,0.0108,0.0087,0.0,0.1281
30,15900,0.0008,0.0853,0.0121,0.01,0.007,0.0,0.1255
30,16000,0.0008,0.0865,0.0124,0.0102,0.0072,0.0,0.1268
30,16100,0.0008,0.0865,0.0123,0.0104,0.0074,0.0,0.1258
30,16200,0.0008,0.0863,0.0122,0.0104,0.0077,0.0,0.1249
30,16300,0.0008,0.0861,0.0121,0.0104,0.0079,0.0,0.1239
31,16400,0.0008,0.0828,0.0113,0.0097,0.0077,0.0,0.12
31,16500,0.0008,0.0819,0.0112,0.0091,0.0082,0.0,0.1191
31,16600,0.0008,0.0815,0.011,0.0092,0.008,0.0,0.1183
31,16700,0.0008,0.0812,0.0109,0.0093,0.0079,0.0,0.1175
31,16800,0.0008,0.0814,0.0109,0.0096,0.0081,0.0,0.1168
31,16900,0.0008,0.0814,0.0108,0.0097,0.0082,0.0,0.1164
32,17000,0.0008,0.0779,0.0104,0.0091,0.0068,0.0,0.1137
32,17100,0.0008,0.0779,0.0104,0.0092,0.0069,0.0,0.1135
32,17200,0.0008,0.0776,0.0103,0.0091,0.007,0.0,0.1129
32,17300,0.0008,0.0779,0.0103,0.0093,0.007,0.0,0.113
32,17400,0.0008,0.0781,0.0103,0.0094,0.0071,0.0,0.1128
33,17500,0.0008,0.0749,0.0095,0.0087,0.0077,0.0,0.1074
33,17600,0.0008,0.0781,0.0101,0.0097,0.0079,0.0,0.1104
33,17700,0.0008,0.0775,0.01,0.0095,0.0078,0.0,0.1097
33,17800,0.0008,0.0768,0.0098,0.0093,0.0078,0.0,0.1091
33,17900,0.0008,0.0762,0.0097,0.0092,0.0077,0.0,0.1083
33,18000,0.0008,0.0759,0.0095,0.0093,0.0079,0.0,0.1073
34,18100,0.0008,0.0726,0.0089,0.0085,0.008,0.0,0.1027
