epoch,step,lr,train_loss,train_distill_loss,train_stream_loss,train_non_stream_loss,train_non_stream_apc_loss,train_cross_modal_apc_loss
27,14700,0.0005,0.2053,0.0677,0.0117,0.0095,0.0,0.3278
28,14800,0.0005,0.1956,0.0645,0.0102,0.0099,0.0,0.3176
28,14900,0.0005,0.1952,0.0639,0.0105,0.0098,0.0,0.3152
28,15000,0.0005,0.1949,0.0631,0.0106,0.0096,0.0,0.314
28,15100,0.0005,0.1942,0.0623,0.0108,0.0094,0.0,0.3117
28,15200,0.0005,0.1942,0.0621,0.011,0.0095,0.0,0.3102
29,15300,0.0005,0.1915,0.0606,0.011,0.0081,0.0,0.3063
29,15400,0.0005,0.1932,0.0614,0.0114,0.008,0.0,0.3077
29,15500,0.0005,0.1925,0.061,0.0113,0.0082,0.0,0.3064
29,15600,0.0005,0.1914,0.0605,0.0112,0.0082,0.0,0.305
29,15700,0.0005,0.1906,0.0599,0.0111,0.0082,0.0,0.3038
29,15800,0.0005,0.1902,0.0596,0.0111,0.0082,0.0,0.3031
30,15900,0.0005,0.1814,0.0563,0.0095,0.0082,0.0,0.2952
30,16000,0.0005,0.1824,0.0563,0.0099,0.0081,0.0,0.2948
30,16100,0.0005,0.1815,0.056,0.0099,0.0079,0.0,0.2936
30,16200,0.0005,0.1803,0.0554,0.0098,0.0083,0.0,0.2912
30,16300,0.0005,0.1797,0.055,0.0099,0.0084,0.0,0.2894
31,16400,0.0005,0.1723,0.0511,0.0098,0.0098,0.0,0.2739
31,16500,0.0005,0.1716,0.0513,0.0092,0.0088,0.0,0.2773
31,16600,0.0005,0.1714,0.0511,0.0093,0.0086,0.0,0.2766
31,16700,0.0005,0.1717,0.051,0.0095,0.0084,0.0,0.2759
31,16800,0.0005,0.1727,0.0512,0.0098,0.0082,0.0,0.2761
31,16900,0.0005,0.1741,0.0516,0.0103,0.0084,0.0,0.2761
32,17000,0.0005,0.1693,0.0503,0.0093,0.008,0.0,0.2726
32,17100,0.0005,0.1673,0.0492,0.009,0.0079,0.0,0.2707
32,17200,0.0005,0.167,0.0489,0.009,0.0077,0.0,0.2699
32,17300,0.0005,0.1672,0.0488,0.0093,0.0079,0.0,0.2689
32,17400,0.0005,0.167,0.0486,0.0094,0.0081,0.0,0.2679
33,17500,0.0005,0.1591,0.0449,0.0085,0.0071,0.0,0.2582
33,17600,0.0005,0.1614,0.0463,0.0086,0.0071,0.0,0.2622
33,17700,0.0005,0.161,0.0461,0.0086,0.007,0.0,0.2616
33,17800,0.0005,0.1606,0.0458,0.0086,0.007,0.0,0.2609
33,17900,0.0005,0.1609,0.0457,0.0088,0.0069,0.0,0.2605
33,18000,0.0005,0.1607,0.0455,0.0089,0.0071,0.0,0.2591
34,18100,0.0005,0.1545,0.0439,0.0081,0.0076,0.0,0.2514
34,18200,0.0005,0.153,0.0431,0.0079,0.0076,0.0,0.249
34,18300,0.0005,0.1536,0.0433,0.0081,0.0076,0.0,0.2493
34,18400,0.0005,0.1541,0.043,0.0084,0.0077,0.0,0.2483
34,18500,0.0005,0.1541,0.0427,0.0086,0.0077,0.0,0.247
35,18600,0.0005,0.1508,0.0415,0.0086,0.0073,0.0,0.2412
35,18700,0.0005,0.151,0.0416,0.0084,0.007,0.0,0.2432
35,18800,0.0005,0.1498,0.0409,0.0081,0.0067,0.0,0.2425
35,18900,0.0005,0.1507,0.0411,0.0083,0.0067,0.0,0.2431
35,19000,0.0005,0.1507,0.0409,0.0085,0.0067,0.0,0.2423
35,19100,0.0005,0.151,0.0408,0.0086,0.0068,0.0,0.2418
36,19200,0.0005,0.1486,0.0404,0.0081,0.0058,0.0,0.2411
36,19300,0.0005,0.147,0.0399,0.0077,0.006,0.0,0.24
36,19400,0.0005,0.147,0.0396,0.0079,0.0062,0.0,0.2387
36,19500,0.0005,0.147,0.0395,0.0081,0.0065,0.0,0.2376
36,19600,0.0005,0.146,0.039,0.008,0.0067,0.0,0.2356
37,19700,0.0005,0.1387,0.0363,0.0074,0.0064,0.0,0.225
37,19800,0.0005,0.1388,0.0365,0.0072,0.0062,0.0,0.2266
37,19900,0.0005,0.1415,0.0372,0.0078,0.0061,0.0,0.2285
37,20000,0.0005,0.1424,0.0374,0.008,0.0061,0.0,0.2294
37,20100,0.0005,0.1423,0.0373,0.008,0.0061,0.0,0.2288
37,20200,0.0005,0.1423,0.0372,0.0081,0.0062,0.0,0.2285
38,20300,0.0005,0.1435,0.0374,0.0086,0.0058,0.0,0.2282
38,20400,0.0005,0.1408,0.0368,0.008,0.0062,0.0,0.2261
38,20500,0.0005,0.1397,0.0366,0.0078,0.0068,0.0,0.2242
38,20600,0.0005,0.1389,0.0361,0.0079,0.0068,0.0,0.2224
38,20700,0.0005,0.1379,0.0357,0.0078,0.0068,0.0,0.221
39,20800,0.0005,0.1304,0.0331,0.0067,0.0062,0.0,0.2134
39,20900,0.0005,0.1306,0.0331,0.0067,0.0058,0.0,0.2143
